genre,popularity,acousticness,danceability,Duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
Pop,66.59066695077776,0.22481903149264865,0.6402357766886853,220859.1602386533,0.6422082175580652,0.01659914005859791,0.17996668442360964,-6.495422544214788,0.10796271041977412,121.17584423609631,0.4813708395482634
Rap,60.53379549393414,0.16808018872725303,0.6972442590987868,219853.85810225303,0.650519551559792,0.009317319383665512,0.19893857235701906,-6.669915944540728,0.18818607019064126,121.10080827556325,0.45591824090121313
Rock,59.61939171699741,0.19642917048317515,0.5382921807592753,237003.22691975842,0.6836697379206212,0.05328787577545298,0.18698071613459877,-7.285875431406385,0.05366395599654875,122.62963006902501,0.5171131147540984
Hip-Hop,58.42313071543841,0.17617199346960732,0.7188080688542227,219981.91317912858,0.6432749696611081,0.011200189771920386,0.20114578805809577,-6.860286067778375,0.20539598708983325,120.79103851533083,0.4733806024744486
Dance,57.27525571773359,0.15288782555568325,0.6381911274566142,226264.94184576484,0.6980665325824618,0.03544858551775658,0.18775324675324676,-6.0542414664981035,0.0836084013331801,120.79591863004252,0.5177540052867486
Indie,54.701561353871945,0.3312144875060254,0.5668210939955989,224150.3739914073,0.5810022152362989,0.08531739349680394,0.16891927066960075,-7.915142303258933,0.06672382898459604,119.29081410457928,0.4286653358482657
Childrenâ€™s Music,54.65903988025232,0.16317481670586978,0.5418431840051321,232554.44360098365,0.7066161017855234,0.05434041687266118,0.19501470116540148,-6.526668341708542,0.08648912648348124,121.93110424462739,0.449236822409922
R&B,52.30871886120996,0.28821646301156584,0.6421246663701067,225748.13022686832,0.5642480427046263,0.025557914995551604,0.17534978870106763,-7.597063723309609,0.1209937722419929,116.37383385231317,0.45034637455516013
Alternative,50.21342977437116,0.16231266108280254,0.5418984454280471,233241.36424484508,0.7115189031631222,0.06130313482996869,0.19698488610601317,-6.540802871639857,0.08878250026989096,122.53448526395336,0.44958966857389615
Folk,49.94020862458329,0.46320053777180337,0.5272760511882999,235805.45660823744,0.49173298419184863,0.08493428074631681,0.170772911065706,-9.870282180879665,0.04507671792665878,118.74888192278739,0.440236971717389
Soul,47.02783584552756,0.3606786900319067,0.6176450654637474,234714.35922543734,0.5325057432060732,0.06229461544394323,0.17925213664869624,-8.866409175926945,0.08253146660798769,115.32249290350974,0.48056247111893496
Country,46.100415512465375,0.2701722775969529,0.5770384349030471,217237.52700831025,0.6363181555863342,0.005609556701292705,0.18721648199445984,-7.341692751615882,0.048988815789473686,123.41441943674977,0.5351597876269621
Jazz,40.82438301027434,0.49960629907107296,0.585637559580553,265645.2698866645,0.4727757218514988,0.3580085923609787,0.1733551000953289,-11.210457366804365,0.07230398262895879,111.7836577693041,0.5089610422624722
Electronic,38.05609469979738,0.11983927273328356,0.6195421989975471,269195.9801642316,0.7392987096086168,0.3509549510067186,0.21000587607976967,-7.035867654900288,0.09898754399061534,125.8459666204543,0.38812903913831714
Reggaeton,37.742914752996526,0.21892323687016915,0.7312601097793211,232037.13912848663,0.7488356670774056,0.0036656810529853254,0.20750992494679063,-5.875960457040439,0.12761571636608043,120.98750711325194,0.6594386580038086
Reggae,35.5893284688177,0.18578307747691256,0.6992714627750543,239503.53939117547,0.6357492962033976,0.03997219753163836,0.19307593204879717,-7.5181066012997375,0.11616285486261545,118.16249082202714,0.6796654201345342
World,35.5240765171504,0.39334089110048376,0.4432933157431838,315327.8919305189,0.5064526380826737,0.23388249868073877,0.22779330474934037,-10.705434806508356,0.04576634784520669,119.82115226473174,0.2956569920844327
Blues,34.742879308434,0.3278400405707636,0.5282318519339466,251931.82600022166,0.6061709486866896,0.09517509985703203,0.2331253097639366,-9.053807381137094,0.06180911005208911,121.13763726033471,0.5794250692674277
Soundtrack,33.954799917064065,0.7173486504561476,0.2656161310387726,192611.748807796,0.22110970198009536,0.7836112908521666,0.13755461331121707,-19.282684221438938,0.04385244660999378,104.08350901928262,0.1184832054737715
Classical,29.28219533275713,0.8688426532789542,0.3059580380293863,310339.98357821954,0.17798380653630078,0.5994246061430424,0.16280957216940364,-21.544476879861712,0.05200078867761452,104.3418066119274,0.21446287813310286
Ska,28.6123506874014,0.09972803749830966,0.526798985801217,191548.6038990309,0.8155845945458643,0.05670941764705882,0.24347318007662835,-6.1727045300878975,0.08915803470813613,129.42762249267523,0.6534721996844715
Anime,24.25872873769024,0.2868430082721576,0.47209009623992837,229937.06792748434,0.6653563868621307,0.28059205607206805,0.19239130483437777,-7.917801924798568,0.06510243957027753,126.62915644583707,0.44168184870188004
Comedy,21.342629893606034,0.7930976441483318,0.5590382191922322,235305.21010226215,0.676093929346142,0.0005738241028819337,0.7247745170953414,-11.689321351100094,0.8535315566573701,98.23548837929967,0.41276377440347073
Opera,13.335628019323671,0.9452016908212559,0.2906496376811594,259161.0922705314,0.16877946485507248,0.23201282580797103,0.22326394927536233,-19.339766787439615,0.05972018115942029,101.8029770531401,0.18986442028985506
Movie,12.174096848578017,0.6973413728926466,0.49118640789136564,210405.35165257493,0.3707030144760441,0.12542710466179863,0.22871548808608763,-12.952094286446323,0.10939957724827057,113.94676992057393,0.4478078913656162
A Capella,9.302521008403362,0.8299411764705883,0.41225210084033614,204467.69747899158,0.2503126050420168,0.007491210672268908,0.13692436974789918,-13.66038655462185,0.04241428571428572,111.51894957983193,0.32872436974789915
Children's Music,4.252637423653526,0.5917808625504349,0.6974754950953174,142726.77419951878,0.3968795463631316,0.14357230316120675,0.16489402183971869,-11.641759948176938,0.11727936331667592,121.13128780307237,0.6759560059226356
