Year,Valence,Energy,Danceability,Tempo,Acousticness,Loudness,Duration_ms
1956,0.419,0.105,0.797,122.545,0.885,-16.881,183133.0
1958,0.7148333333333333,0.5491666666666667,0.632,134.96383333333333,0.6368333333333333,-7.7763333333333335,148348.66666666666
1959,0.6573333333333333,0.618,0.5286666666666667,98.11233333333332,0.7566666666666667,-8.722,161257.66666666666
1960,0.529125,0.402375,0.429125,117.285375,0.6915,-10.6935,165974.75
1961,0.6823333333333333,0.49366666666666664,0.4686666666666666,142.697,0.4263333333333333,-9.93,153888.66666666666
1962,0.6558571428571429,0.4947142857142857,0.5487142857142857,115.99314285714286,0.6290000000000001,-9.400857142857143,163082.0
1963,0.71625,0.447725,0.6105,128.739625,0.59725,-11.343250000000001,167295.875
1964,0.7097142857142857,0.49024285714285715,0.587,117.40785714285714,0.5245714285714286,-11.627571428571429,165538.7142857143
1965,0.7775384615384616,0.6457692307692308,0.549,121.03715384615384,0.3294,-8.994307692307693,160550.38461538462
1966,0.6536,0.4767,0.5892000000000001,117.63820000000001,0.43728,-11.5116,163979.7
1967,0.58525,0.433375,0.558125,115.177375,0.535625,-10.819875,166985.875
1968,0.6278333333333334,0.5383888888888889,0.5171111111111111,116.92977777777777,0.4861111111111111,-9.416333333333334,176752.77777777778
1969,0.6766363636363636,0.5030363636363636,0.538,119.98309090909092,0.4418090909090909,-12.175636363636363,227748.63636363635
1970,0.7954166666666667,0.5476666666666666,0.5694166666666667,122.12358333333333,0.42050000000000004,-11.168750000000001,206610.58333333334
1971,0.6660666666666667,0.4878733333333333,0.554,124.6564,0.43055333333333334,-12.299933333333334,218105.93333333332
1972,0.625904761904762,0.5052666666666666,0.540952380952381,117.24128571428571,0.4991428571428571,-11.422761904761906,215468.7142857143
1973,0.6573888888888889,0.7206666666666667,0.5413888888888889,124.64150000000001,0.2962612777777778,-7.831055555555555,226901.72222222222
1974,0.6378157894736841,0.5796842105263158,0.5246842105263158,111.03244736842106,0.3493375263157895,-10.389184210526315,209998.2105263158
1975,0.7034838709677419,0.5526774193548387,0.6074838709677419,119.32232258064515,0.38225580645161295,-10.899677419354838,228103.09677419355
1976,0.65575,0.6686,0.52435,117.72184999999999,0.217284125,-9.36815,257291.675
1977,0.6441538461538462,0.5604615384615385,0.5719384615384615,118.81638461538462,0.3501972307692308,-9.634,224331.0
1978,0.6864848484848485,0.6150000000000001,0.617,116.33666666666667,0.28738287878787877,-9.330363636363636,253253.9696969697
1979,0.6852352941176472,0.6643529411764706,0.6148823529411764,113.6509411764706,0.2682570588235294,-8.549882352941175,229262.29411764705
1980,0.7949583333333333,0.7414999999999999,0.6402083333333334,134.72187499999998,0.17800649999999998,-8.671125,235423.83333333334
1981,0.6425142857142857,0.6303428571428572,0.5785142857142858,127.81502857142857,0.2729145714285714,-9.166285714285713,225683.88571428572
1982,0.7307586206896551,0.7022068965517242,0.674344827586207,118.83134482758621,0.1599664482758621,-7.750862068965517,237059.55172413794
1983,0.6265266666666667,0.6369333333333334,0.6712666666666666,112.7708,0.21354,-9.3058,238965.0
1984,0.6965217391304348,0.6211304347826087,0.6571304347826087,126.60813043478261,0.18274782608695653,-10.578652173913044,254330.1739130435
1985,0.6065806451612903,0.6981387096774193,0.5922903225806452,129.68487096774192,0.24213612903225806,-9.536935483870968,245097.4193548387
1986,0.634,0.6519090909090909,0.6046666666666667,115.75178787878788,0.18696060606060605,-11.049151515151516,247791.57575757575
1987,0.6659545454545455,0.7774545454545454,0.6234090909090909,126.10549999999999,0.08899945454545455,-7.737409090909091,244827.81818181818
1988,0.6837741935483871,0.6188064516129033,0.6073548387096774,122.15451612903226,0.25353112903225805,-9.883354838709678,243935.09677419355
1989,0.6038461538461538,0.6137692307692307,0.6094615384615385,115.17807692307693,0.3537769230769231,-10.971384615384615,224611.0
1990,0.6082608695652174,0.5973478260869566,0.5825652173913043,125.70452173913044,0.30662217391304347,-10.582608695652175,234766.8260869565
1991,0.5940666666666666,0.5877333333333333,0.5798,108.81819999999999,0.267442,-10.326266666666667,231823.6
1992,0.67906,0.67965,0.5963,121.17895000000001,0.19982885,-9.12845,236949.65
1993,0.5987333333333333,0.7316666666666667,0.6858666666666667,124.74933333333334,0.19606873333333336,-9.072000000000001,271722.86666666664
1994,0.6312307692307692,0.681076923076923,0.6356153846153846,124.53961538461539,0.2247793846153846,-7.9592307692307696,293626.1538461539
1995,0.6166071428571429,0.6907857142857142,0.5806428571428571,121.62128571428572,0.1805606357142857,-7.946928571428572,229847.39285714287
1996,0.5422857142857143,0.6537619047619048,0.5938571428571429,120.53385714285713,0.2005882380952381,-7.602142857142858,249963.42857142858
1997,0.7078527777777778,0.7244722222222222,0.6227777777777779,118.71313888888888,0.20694277777777778,-7.302027777777777,239173.0
1998,0.5450454545454545,0.7800909090909091,0.5085909090909091,142.74859090909092,0.07727021363636365,-7.579318181818182,261433.68181818182
1999,0.634603125,0.77934375,0.6096875,122.28496875,0.15235403125,-6.90128125,242675.21875
2000,0.6346382978723404,0.789936170212766,0.6420425531914893,120.12504255319149,0.11413223404255318,-5.965468085106383,231229.7659574468
2001,0.6625172413793103,0.7167931034482758,0.6318275862068966,122.63537931034483,0.16520327586206895,-6.6674827586206895,199646.3448275862
2002,0.5731296296296295,0.6992222222222223,0.5681481481481482,129.98337037037038,0.13901502962962964,-7.148037037037038,227766.62962962964
2003,0.4680795454545455,0.7263181818181818,0.5611590909090909,122.2485,0.18501385,-6.200090909090909,231065.18181818182
2004,0.5126310344827586,0.7718620689655172,0.5673103448275861,131.99675862068966,0.06865565172413793,-5.618620689655172,232851.41379310345
2005,0.5813225806451613,0.6074838709677419,0.5771612903225807,114.02722580645161,0.2775867741935484,-8.439483870967743,207843.90322580645
2006,0.539074074074074,0.629074074074074,0.646962962962963,122.04622222222223,0.30869225925925925,-6.946592592592593,232731.0
2007,0.5791972972972973,0.8148648648648649,0.572972972972973,127.01137837837838,0.1448701081081081,-4.806027027027027,224975.83783783784
2008,0.5725526315789474,0.7509210526315789,0.5728157894736842,128.0463947368421,0.1391789289473684,-5.629026315789473,221805.1052631579
2009,0.575125,0.78975,0.5991562500000001,127.4055625,0.07460015625000001,-5.148875,237357.5
2010,0.47646153846153844,0.7771153846153845,0.6038461538461538,120.67096153846154,0.09516971153846154,-5.0407692307692304,227619.11538461538
2011,0.441625,0.7526875,0.582,125.6885,0.1446585625,-5.458,230190.0
2012,0.6335000000000001,0.8236875,0.6596875,122.4398125,0.0524133125,-4.416875,209687.8125
2013,0.69375,0.820125,0.6737500000000001,108.947625,0.092044,-4.846125,235248.375
2014,0.6861666666666667,0.7768333333333333,0.5985,121.48133333333332,0.1369,-5.487166666666667,224628.5
2015,0.4454285714285714,0.6257142857142857,0.6167142857142858,114.18142857142857,0.21327714285714286,-7.626857142857142,241416.0
2016,0.32527999999999996,0.7110000000000001,0.61,112.43879999999999,0.22615599999999997,-5.4358,217082.8
